Resume Point,User ID,Tag
Developed an optimized intraday strategy using machine learning techniques to predict buy and sell signals on NIFTY-200 equities with higher integrity and lower risk. Back-tested the strategy on 2021 minute-wise data and implemented it using Zerodha's API.,1,"[data science/machine learning, finance, software development]"
Built a neural network to perform object localization using synthetic data generated using MatPlotLib. Evaluated performance using appropriate metrics such as Intersection over Union(IoU) and improved accuracy by iterating the model training process.,1,"[data science/machine learning, software development]"
"Learned about time-series analysis, modeling errors, over-fitting, panel data regression, and autoregressive models. Built and implemented classical indicators such as Bollinger Bands, SMA, RSI, Stochastic oscillator, OBV, and MACD. Developed a technical indicator using rolling reversion to generate 12% more accurate signals compared to SMA.",1,"[data science/machine learning, finance]"
"Learned about Aseprite, Adobe Photoshop, and Blender. Created pixelated art and integrated it into animations. Enhanced and redefined images using Adobe Photoshop. Worked on immersive 3D modeling involving lighting, shaders, textures, foilage using Blender.",1,"[software development, web development]"
Conducted backtesting of the Black-Scholes equation for options and obtained an RMSE less than 50 on the NIFTY50 data.,2,"[finance, data science/machine learning]"
"Simulated 2,50,000 possible paths for NIFTY50 and predicted discounted payoff using Monte Carlo methods.",2,"[data science/machine learning, finance]"
"Conducted equity research on HDFC Bank, analyzing its financial statements, industry trends, and competitive landscape.",2,"[finance, business]"
"Analyzed the logistics operations of Delhivery and identified areas for improvement, including reverse logistics.",2,"[business, operations]"
"Developed a framework for screening stocks based on profitability, leverage, and operating ratios, and formulated an investment strategy for retail investors using index funds and coffee can approach.",2,"[finance, business]"
"Contributed to the development of a sales commissioning platform for GRG India, a leading financial services company, as part of their SaaS Product team. Utilized Python, Django, and MySQL to create a user-friendly interface and implemented automated calculation tools to streamline client onboarding.",3,"[software development, web development]"
"Worked on a research project focusing on urban air mobility and the development of an eVTOL aircraft. Conducted market analysis, identified essential factors driving growth, and created a compelling pitch deck for presentation to DRDO and Ministry of Education.",3,"[business, marketing]"
Assisted xTerra Robotics in developing a business strategy leveraging market research and quantitative analysis. Prepared a comprehensive report on the business details of 6+ competitors in the Mobility Robotics Quadruped Industry and performed use-case analysis on 15+ use cases in 7+ industries.,3,"[business, marketing, data science/machine learning]"
"Developed an ML-Based Credit underwriting tool for NSE-ISB Trading Lab, ISB-Hyderabad, based on customer-centric, socio-economic, and CSR-centric variables. Analyzed over 18+ risk assessment metrics of 4.5L customers and incorporated nightlight data of 4 states using Google Earth Engine to improve the model.",3,"[data science/machine learning, finance, business]"
"Developed an ML model to predict the life cycle of Li-ion cells using early-stage capacity degradation and EIS spectroscopy. Cleaned and processed 26GB of time-series data consisting of 96,700 cell cycles of 124 commercial cells using MATLAB and achieved 93.0% train accuracy and 95.1% test accuracy using Gaussian Exponential model.",3,"[data science/machine learning, software development]"
"Led a team of 10+ dedicated team members to design and implement the software division of Formula Bharat 2024, a national-level competition for electric vehicles. Coordinated a major collaborative marketing event with Red Bull India, engaging 250+ attendees to promote F1 in campus.",3,"[software development, marketing, business]"
"Conducted in-depth research on constrained statistical inference and isotonic regression under the guidance of Professor Satya Prakash Singh at Indian Institute of Technology, Kanpur. Utilized computational techniques such as simulation methods to enhance statistical analysis for complex problems. Developed a solid theoretical foundation covering topics such as order restrictions and shape restrictions. Learned approaches such as likelihood ratio tests, score tests, and Wald tests for testing order restrictions. Replicated and validated the results of a seminal research paper and improved the existing methodologies resulting in increased power values by at least 10%. Used RStudio to present the results in the form of visualizations and an R shiny app.",4,"[data science/machine learning, software development]"
Successfully obtained a dataset on World Happiness Index from authoritative online sources through data scraping using HTML and R. Compiled and processed the acquired data to ensure no null values were present. Employed cutting-edge data visualization techniques using ggplot2 library to elucidate the correlations between the Happiness Index and an array of influential factors across diverse nations. Orchestrated a user-friendly and interactive R Shiny App to showcase the visualizations to a broad audience. Conducted a rudimentary analysis of the visualizations providing insights into the interplay between the Happiness Index and its determinants and conveyed the different paradoxes through a compelling R Quarto document.,4,"[data science/machine learning, software development, web development]"
"Acquired foundational knowledge in essential topics of machine learning such as data preprocessing, transformative power of principal component analysis, classification, and clustering techniques. Carried out rudimentary regression analysis and time series analysis techniques.",4,"[data science/machine learning, software development]"
Guided and mentored 5 freshman students in acclimatizing to the environment of the institute. Assisted them with their academics and guided them to better avail their future opportunities. Coordinated with the counseling service and helped in organizing the orientation program 2022.,4,"[data science/machine learning, software development]"
Participated in several college-level and inter-college level dance events such as Thomso'22 and Antaragini'22. Secured first place in Antaragini'22 and second runner-up position in Thomso'22.,4,[]
"Worked as a research intern under Professor Tushar Sandhan at Indian Institute of Technology, Kanpur. Utilized OpenCV library via Python for a project on Using Drones for SAR Operations. Developed simulations on Virtual Robot Experimentation Platform (VREP) and practically implemented marker detection and tracking on a Tello drone. Explored swarm robotics possibilities and published a paper in the esteemed IEEE/CAA Journal of Automata Sinica for Control Engineering.",5,"[software development, data science/machine learning, core engineering]"
"Developed efficient algorithms for Fibonacci generation and compared the efficiencies of Quick Sort and Merge Sort. Engineered programs utilizing linked lists for multiplying sparse matrices and employed stacks for expression evaluation. Successfully implemented a nearly-balanced binary search tree, meticulously examining insertion time complexity.",5,"[software development, data science/machine learning, core engineering]"
"Acquired diverse skills including Arduino Circuitry, Python-based Machine Learning, and Web Automation. Attained World Rank 29 in the AWS DeepRacer competition, optimizing performance with PPO Reinforcement Learning.",5,"[software development, data science/machine learning, web development]"
"Designed innovative smart shoes for time-efficient navigation and activity analysis, using statistical methods. Implemented Dijkstra’s algorithm for navigation and integrated Google Directions API into a JavaScript web app. Incorporated obstacle detection by leveraging research on LIDAR/Stereo Cameras, focusing on fall risk assessment.",5,"[software development, data science/machine learning, web development, core engineering]"
"Developed proficiency in essential algorithms required for Competitive Programming (Bitmasking, Sparse Tables, Graphs etc.). Actively participated and continued participating in CodeForces contests, applying the knowledge learnt consistently.",5,"[software development, data science/machine learning]"
"Mentored the ’26 Batch in their Foundational Mathematics courses by providing valuable guidance and resolving queries. Conducted three impactful Academic Mentor classes, attracting an audience of over 400 individuals. Assisted 30 freshmen in acclimating to the academic environment, by helping them during their first academic registration.",5,"[data science/machine learning, education]"
Successfully reeled in students from five schools in Bangalore to TOSC 2021 and facilitated seamless fee payment for participants.,5,"[marketing, business]"
"Developed a fully functional restaurant handling website as part of the Summer of Code program conducted by the Web and Coding Club at IIT Bombay. Utilized HTML, CSS, JavaScript, and Python to create a user-friendly and responsive frontend. Collaborated with a team of developers to ensure seamless integration with the backend and database.",6,"[web development, software development]"
